setmana_epidemiologica,any,data_inici,data_final,codi_regio,nom_regio,codi_ambit,nom_ambit,sexe,grup_edat,index_socioeconomic,casos,poblacio
12,2020,16/03/2020,22/03/2020,64,GIRONA,6400,GIRONA,Home,70 a 79,2,1.00,2137.00
5,2022,31/01/2022,06/02/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,2,4.00,27350.00
6,2021,08/02/2021,14/02/2021,78,BARCELONA,7801,METROPOLITANA SUD,Dona,80 o més,1,1.00,754.00
51,2020,14/12/2020,20/12/2020,64,GIRONA,6400,GIRONA,Dona,80 o més,2,1.00,2298.00
29,2022,18/07/2022,24/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,15 a 44,4,1.00,42621.00
45,2020,02/11/2020,08/11/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,15 a 44,4,1.00,85604.00
33,2021,16/08/2021,22/08/2021,64,GIRONA,6400,GIRONA,Dona,80 o més,3,2.00,17562.00
32,2021,09/08/2021,15/08/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,2,1.00,18646.00
38,2020,14/09/2020,20/09/2020,78,BARCELONA,7801,METROPOLITANA SUD,Dona,45 a 59,3,1.00,105039.00
22,2022,30/05/2022,05/06/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 79,4,1.00,3774.00
12,2020,16/03/2020,22/03/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,70 a 79,3,4.00,41113.00
7,2021,15/02/2021,21/02/2021,64,GIRONA,6400,GIRONA,Dona,80 o més,4,5.00,10612.00
29,2022,18/07/2022,24/07/2022,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Home,80 o més,4,1.00,3744.00
6,2022,07/02/2022,13/02/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,60 a 69,3,1.00,20019.00
6,2022,07/02/2022,13/02/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Home,80 o més,4,2.00,3859.00
52,2021,27/12/2021,02/01/2022,64,GIRONA,6400,GIRONA,Dona,70 a 79,3,1.00,20333.00
8,2021,22/02/2021,28/02/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,15 a 44,2,1.00,129259.00
37,2020,07/09/2020,13/09/2020,78,BARCELONA,7802,METROPOLITANA NORD,Dona,80 o més,4,3.00,11747.00
8,2021,22/02/2021,28/02/2021,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,4,2.00,6037.00
18,2022,02/05/2022,08/05/2022,67,CATALUNYA CENTRAL,6700,CATALUNYA CENTRAL,Home,70 a 79,3,1.00,13329.00
19,2020,04/05/2020,10/05/2020,78,BARCELONA,7802,METROPOLITANA NORD,Home,70 a 79,2,2.00,15586.00
2,2021,11/01/2021,17/01/2021,78,BARCELONA,7802,METROPOLITANA NORD,Dona,60 a 69,2,1.00,26031.00
35,2021,30/08/2021,05/09/2021,64,GIRONA,6400,GIRONA,Home,80 o més,4,1.00,6424.00
12,2022,21/03/2022,27/03/2022,61,LLEIDA,6100,LLEIDA,Dona,80 o més,3,3.00,8820.00
40,2022,03/10/2022,09/10/2022,78,BARCELONA,7803,BARCELONA CIUTAT,Dona,80 o més,4,1.00,7274.00
45,2021,08/11/2021,14/11/2021,62,CAMP DE TARRAGONA,6200,CAMP DE TARRAGONA,Dona,70 a 79,4,1.00,8751.00
38,2020,14/09/2020,20/09/2020,78,BARCELONA,7803,BARCELONA CIUTAT,Home,70 a 79,4,1.00,6191.00
